type	family	province	isp	host	ip	port	target	backup_host	backup_ip	backup_port	backup_target
cdn	6	四川	电信	sc-ct-v6.ibsgss.uk	240e:d9:ac01:80::b00:94	80	sc-ct-v6.ip.zstaticcdn.com	bak.sc-ct-v6.ibsgss.uk		80	cd-ct-v6.ip.zstaticcdn.com
cdn	6	四川	联通	sc-cu-v6.ibsgss.uk	2408:8766:0:1002:8000:0:b00:4	80	sc-cu-v6.ip.zstaticcdn.com	bak.sc-cu-v6.ibsgss.uk		80	cd-cu-v6.ip.zstaticcdn.com
cdn	6	四川	移动	sc-cm-v6.ibsgss.uk	2409:8c62:e10:32:8000:0:b00:84	80	sc-cm-v6.ip.zstaticcdn.com	bak.sc-cm-v6.ibsgss.uk		80	cd-cm-v6.ip.zstaticcdn.com
cdn	6	贵州	电信	gz-ct-v6.ibsgss.uk	240e:980:1200:607::b00:216	80	gz-ct-v6.ip.zstaticcdn.com	bak.gz-ct-v6.ibsgss.uk		80	gy-ct-v6.ip.zstaticcdn.com
cdn	6	贵州	联通	gz-cu-v6.ibsgss.uk	2408:877f:30:7:8000:0:b00:224	80	gz-cu-v6.ip.zstaticcdn.com	bak.gz-cu-v6.ibsgss.uk		80	gy-cu-v6.ip.zstaticcdn.com
cdn	6	贵州	移动	gz-cm-v6.ibsgss.uk	2409:8c5c:110:27:8000:0:b00:99	80	gz-cm-v6.ip.zstaticcdn.com	bak.gz-cm-v6.ibsgss.uk		80	gy-cm-v6.ip.zstaticcdn.com
cdn	6	云南	电信	yn-ct-v6.ibsgss.uk	240e:94c:4000:313:8000:0:b00:77	80	yn-ct-v6.ip.zstaticcdn.com	bak.yn-ct-v6.ibsgss.uk		80	km-ct-v6.ip.zstaticcdn.com
cdn	6	云南	联通	yn-cu-v6.ibsgss.uk	2408:8766:0:1002:8000:0:b00:3	80	yn-cu-v6.ip.zstaticcdn.com	bak.yn-cu-v6.ibsgss.uk		80	km-cu-v6.ip.zstaticcdn.com
cdn	6	云南	移动	yn-cm-v6.ibsgss.uk	2409:8c6c:550:1614:8000:0:b00:5	80	yn-cm-v6.ip.zstaticcdn.com	bak.yn-cm-v6.ibsgss.uk		80	km-cm-v6.ip.zstaticcdn.com
cdn	6	陕西	电信	sn-ct-v6.ibsgss.uk	240e:bf:b800:4115:8000:0:b00:95	80	sn-ct-v6.ip.zstaticcdn.com	bak.sn-ct-v6.ibsgss.uk		80	xa-ct-v6.ip.zstaticcdn.com
cdn	6	陕西	联通	sn-cu-v6.ibsgss.uk	2408:8719:64:73:8000:0:b00:63	80	sn-cu-v6.ip.zstaticcdn.com	bak.sn-cu-v6.ibsgss.uk		80	xa-cu-v6.ip.zstaticcdn.com
