type	family	province	isp	host	ip	port	target	backup_host	backup_ip	backup_port	backup_target
cdn	4	贵州	移动	gz-cm-v4.ibsgss.uk	183.240.28.172	80	gz-cm-v4.ip.zstaticcdn.com	bak.gz-cm-v4.ibsgss.uk	36.134.90.65	80	gz-guiyang-cm-v4.ip.zstaticcdn.com
cdn	6	贵州	移动	gz-cm-v6.ibsgss.uk	2409:8c54:b030:1102:8000:0:b00:47	80	gz-cm-v6.ip.zstaticcdn.com	bak.gz-cm-v6.ibsgss.uk		80	gy-cm-v6.ip.zstaticcdn.com
cdn	4	云南	电信	yn-ct-v4.ibsgss.uk	106.60.4.70	80	yn-ct-v4.ip.zstaticcdn.com	bak.yn-ct-v4.ibsgss.uk		80	km-ct-v4.ip.zstaticcdn.com
cdn	6	云南	电信	yn-ct-v6.ibsgss.uk	240e:94c:4000:313:8000:0:b00:84	80	yn-ct-v6.ip.zstaticcdn.com	bak.yn-ct-v6.ibsgss.uk		80	km-ct-v6.ip.zstaticcdn.com
cdn	4	云南	联通	yn-cu-v4.ibsgss.uk	119.62.43.2	80	yn-cu-v4.ip.zstaticcdn.com	bak.yn-cu-v4.ibsgss.uk	180.130.209.24	80	yn-dehong-cu-v4.ip.zstaticcdn.com
cdn	6	云南	联通	yn-cu-v6.ibsgss.uk	2408:8766:0:1002:8000:0:b00:4	80	yn-cu-v6.ip.zstaticcdn.com	bak.yn-cu-v6.ibsgss.uk		80	km-cu-v6.ip.zstaticcdn.com
cdn	4	云南	移动	yn-cm-v4.ibsgss.uk	218.202.0.254	80	yn-cm-v4.ip.zstaticcdn.com	bak.yn-cm-v4.ibsgss.uk		80	km-cm-v4.ip.zstaticcdn.com
cdn	6	云南	移动	yn-cm-v6.ibsgss.uk	2409:8c6c:550:1614:8000:0:b00:5	80	yn-cm-v6.ip.zstaticcdn.com	bak.yn-cm-v6.ibsgss.uk		80	km-cm-v6.ip.zstaticcdn.com
cdn	4	陕西	电信	sn-ct-v4.ibsgss.uk	113.141.78.120	80	sn-ct-v4.ip.zstaticcdn.com	bak.sn-ct-v4.ibsgss.uk	203.2.167.233	80	sn-xian-ct-v4.ip.zstaticcdn.com
cdn	6	陕西	电信	sn-ct-v6.ibsgss.uk	240e:bf:b800:4115:8000:0:b00:94	80	sn-ct-v6.ip.zstaticcdn.com	bak.sn-ct-v6.ibsgss.uk		80	xa-ct-v6.ip.zstaticcdn.com
